Srl,Full Name,Block,Item /Col.,Field Length,Byte Position (Start),Byte Position (End),Field_Name,Remarks
1,File Identification,,,5,1,5,file_id,CFVP5
2,Schdule,1.0,2,3,6,8,sch,104
3,Quarter,,,2,9,10,qtr,Q1 to Q4
4,Month,,,2,11,12,month,01 to 12
5,Visit,,,2,13,14,visit,V1
6,Sector,1.0,3,1,15,15,sec,
7,State/Ut Code,,,2,16,17,st,
8,District Code,1.0,4,2,18,19,dc,
9,NSS-Region,1.0,4,3,20,22,nss_reg,
10,Basic stratum,,,4,23,26,bstrm,
11,Stratum,1.0,5,3,27,29,strm,
12,Group,,,1,30,30,grp,
13,Sub-Stratum,1.0,6,2,31,32,sstrm,
14,Fod Sub-Region,1.0,12,4,33,36,sro,
15,FSU,1.0,1,5,37,41,mfsu,
16,Second Stage Stratum No.,1.0,14,1,42,42,sss,
17,Sample Household Number,1.0,15,2,43,44,ssu,
18,Person Serial No.,4.0,1,2,45,46,srl,
19,Relationship To Head,4.0,4,1,47,47,rel,
20,Sex,4.0,5,1,48,48,sex,
21,Age,4.0,6,3,49,51,age,
22,Marital Status,4.0,7,1,52,52,marst,
23,General Educaion Level,4.0,8,2,53,54,gedu_lvl,
24,Technical Educaion Level,4.0,9,2,55,56,tedu_lvl,
25,class/grade successfully completed,4.0,10,2,57,58,grade,
26,year(s) of education completed prior to class I ,4.0,11,1,59,59,yrsbef1,
27,year(s) of education completed after the class/grade recorded in column 10,4.0,12,2,60,61,yrsaft,
28,whether the last completed year of education recorded in column 12 was the last year of education attended,4.0,13,1,62,62,iflastyr,
29,No. of months attended in the last year of Education,4.0,14,2,63,64,mnths,
30,Status of Current Attendance in Educational Institution,4.0,15,2,65,66,curr_att,"Up to June 2025: 0-29 years, From July 2025: 0-59 years"
31,whether attended secondary education,4.0,16,2,67,68,secondary,
32,Whether received any Vocational/Technical Training,4.0,17,1,69,69,voc,
33,whether received or receiving any training or course for entrance in higher education or for employment exams by an institute / training center,4.0,18,1,70,70,trg,From July 2025
34,when the training / course mentioned in col 17 or col 18 was completed ,4.0,19,1,71,71,trg_com,From July 2025
35,Whether Training completed during last 365 Days,4.1,3,1,72,72,voc_compl,Up to June 2025
36,Field Of Training,4.1,4,2,73,74,voc_fld,
37,Duration Of Training,4.1,5,1,75,75,voc_dur,
38,Type Of Training,4.1,6,1,76,76,voc_typ,
39,Source Of Funding The Training,4.1,7,1,77,77,voc_fund,
40,nature of the certifying body from which vocational / technical training received,4.1,8,1,78,78,voc_cert,
41,Status Code,5.1,3,2,79,80,pas,
42,Industry Code (NIC),5.1,5,5,81,85,ind_pas,
43,Occupation Code (NCO),5.1,6,3,86,88,ocu_pas,
